笠翁对韵1,天对()，雨对()。大陆对()。山花对()，赤日对()。雷隐隐，()。日下对()。风高秋月白，()。牛女二星河左右，()。十月塞边，飒飒寒霜惊戍旅；()。,()对地，()对风。()对长空。()对海树，()对苍穹。()，雾蒙蒙。()对天中。()，雨霁晚霞红。()，参商两曜斗西东。()；三冬江上，漫漫朔雪冷鱼翁。
笠翁对韵2,河对()，绿对()。雨伯对()。烟楼对()，月殿对()。云叆叇，()。腊屐对()。过天星似箭，()。驿旅客逢梅子雨，()。茅店村前，皓月坠林鸡唱韵；()。,()对汉，()对红。()对雷公。()对雪洞，()对天宫。()，日曈朦。()对渔蓬。()，吐魂月如弓。()，池亭人挹荷花风。()；板桥路上，青霜锁道马行踪。
笠翁对韵3,山对()，华对()。四岳对()。宫花对()，塞雁对()。清暑殿，()。拾翠对()。庄周梦化蝶，()。北牖当风停夏扇，()。鹤舞楼头，玉笛弄残仙子月；()。,()对海，()对嵩。()对三公。()对禁柳，()对江龙。()，广寒宫。()对题红。()，吕望兆飞熊。()，南帘曝日省冬烘。()；凤翔台上，紫箫吹断美人风。
笠翁对韵4,晨对()，夏对()。下晌对()。青春对()，古柏对()。垂钓客，()。仙鹤对()。凤冠珠闪烁，()。三元及第才千顷，()。花萼楼前，仙李盘根调国脉；()。,()对午，()对冬。()对高舂。()对白昼，()对苍松。()，荷锄翁。()对神龙。()，螭带玉玲珑。()，一品当朝禄万钟。()；沉香亭畔，娇杨擅宠起边风。
笠翁对韵5,清对()，薄对()。暮鼓对()。山茶对()，烟锁对()。金菡萏，()。绿绮对()。早汤先宿酒，()。唐库金钱能化蝶，()。巫峡浪传，云雨荒唐神女庙；()。,()对淡，()对浓。()对晨钟。()对石菊，()对云封。()，玉芙蓉。()对青锋。()，晚食继朝饔。()，延津宝剑会成龙。()；岱宗遥望，儿孙罗列丈人峰。
笠翁对韵6,繁对()，叠对()。意懒对()。仙翁对()，道范对()。花灼灼，()。浪蝶对()。数竿君子竹，()。高皇灭项凭三杰，()。内苑佳人，满地风光愁不尽；()。,()对简，()对重。()对心慵。()对释伴，()对儒宗。()，草葺葺。()对狂蜂。()，五树大夫松。()，虞帝承尧殛四凶。()；边关过客，连天烟草憾无穷。
笠翁对韵7,奇对()，只对()。大海对()。金盘对()，宝烛对()。朱漆槛，()。舞调对()。汉兴推马武，()。四收列国群王服，()。跨凤登台，潇洒仙姬秦月玉；()。,()对偶，()对双。()对长江。()对玉盏，()对银釭。()，碧纱窗。()对歌腔。()，夏谏著尨逄。()，三筑高城众敌降。()；斩蛇当道，英雄天子汉刘邦。
笠翁对韵8,颜对()，像对()。步辇对()。停针对()，意懒对()。灯闪闪，()。揽辔对()。柳堤驰骏马，()。酒量微熏琼杳颊，()。诗写丹枫，韩夫幽怀流节水；()。,()对貌，()对庞。()对徒杠。()对搁竺，()对心降。()，月幢幢。()对飞艎。()，花院吠村尨。()，香尘没印玉莲双。()；泪弹斑竹，舜妃遗憾积湡江。
笠翁对韵9,泉对()，干对()。吹竹对()。山亭对()，鹦鹉对()。五色笔，()。泼墨对()。神奇韩干画，()。几处花街新夺锦，()。万里烽烟，战士边头争宝塞；()。,()对石，()对枝。()对弹丝。()对水榭，()对鸬鹚。()，十香词。()对传卮。()，雄浑李陵诗。()，有人香径淡凝脂。()；一犁膏雨，农夫村外尽乘时。
笠翁对韵10,俎对()，赋对()。点漆对()。瑶簪对()，剑客对()。沽酒价，()。国色对()。晚霞明似锦，()。柳绊长堤千万树，()。紫盖黄旗，天象预占江左地；()。,()对醢，()对诗。()对描脂。()对珠履，()对琴师。()，买山资。()对仙姿。()，春雨细如丝。()，花横野寺两三枝。()；青袍白马，童谣终应寿阳儿。
