云对()，雪对()，晚照对()。来鸿对()，宿鸟对()。三尺剑，()，岭北对()。人间清暑殿，()。两岸晓烟杨柳绿，()。两鬓风霜，途次早行之客  ；()。;()对雨，()对风，()对晴空。()对去燕，()对鸣虫。()，六钧弓，()对江东。()，天上广寒宫。()，一园春雨杏花红。()；一蓑烟雨，溪边晚钓之翁  。
沿对()，异对()，白叟对()。江风对()，牧子对()。颜巷陋，()，冀北对()。池中濯足水，()。梁帝讲经同泰寺，()。尘虑萦心，懒抚七弦绿绮  ；()。;()对革，()对同，()对黄童。()对海雾，()对渔翁。()，阮途穷，()对辽东。()，门外打头风。()，汉皇置酒未央宫。()；霜华满鬓，羞看百炼青铜  。
贫对()，塞对()，野叟对()。鬓皤对()，齿皓对()。天浩浩，()，佩剑对()。半溪流水绿，()。野渡燕穿杨柳雨，()。女子眉纤，额下现一弯新月；()。;()对富，()对通，()对溪童。()对眉绿，()对唇红。()，日融融，()对弯弓。()，千树落花红。()，芳池鱼戏芰荷风。()；男儿气壮，胸中吐万丈长虹。
春对()，秋对()，暮鼓对()。观山对()，绿竹对()。冯妇虎，()，舞蝶对()。衔泥双紫燕，()。春日园中莺恰恰，()。秦岭云横，迢递八千远路  ；()。;()对夏，()对冬，()对晨钟。()对玩水，()对苍松。()，叶公龙，()对鸣蛩。()，课蜜几黄蜂。()，秋天寒外雁雍雍。()；巫山雨洗，嵯峨十二危峰  。
明对()，淡对()，上智对()。镜奁对()，野杵对()。花灼烁，()，九夏对()。台高名戏马，()。手擘蟹螯从毕卓，()。五老峰高，秀插云霄如玉笔；()。;()对暗，()对浓，()对中庸。()对衣笥，()对村舂。()，草蒙茸，()对三冬。()，斋小号蟠龙。()，身披鹤氅自王恭。()；三姑石大，响传风雨若金镛。
仁对()，让对()，禹舜对()。雪花对()，芍药对()。陈后主，()，绣虎对()。柳塘风淡淡，()。春日正宜朝看蝶，()。战士邀功，必借干戈成勇武；()。;()对义，()对恭，()对羲农。()对云叶，()对芙蓉。()，汉中宗，()对雕龙。()，花圃月浓浓。()，秋风那更夜闻蛩。()；逸民适志，须凭诗酒养踈慵。
楼对()，户对()，巨海对()。蓉裳对()，玉斝对()。青布幔，()，宝剑对()。忠心安社稷，()。世祖中兴延马武，()。秋雨潇潇，漫烂黄花都满径；()。;()对阁，()对窗，()对长江。()对蕙帐，()对银釭。()，碧油幢，()对金缸。()，利口覆家邦。()，桀王失道杀龙逄。()；春风袅袅，扶疏绿竹正盈窗。
旌对()，盖对()，故国对()。行山对()，九泽对()。山岌岌，()，鼓振对()。清风生酒舍，()。阵上倒戈辛纣战，()。夏日池塘，出沿浴波鸥对对；()。;()对旆，()对幢，()对他邦。()对万水，()对三江。()，水淙淙，()对钟撞。()，白月照书窗。()，道旁系剑子婴降。()；春风帘幕，往来营垒燕双双。
铢对()，只对()，华岳对()。朝车对()，宿火对()。青琐闼，()，汉社对()。笙箫鸣细细，()。主簿栖鸾名有览，()。苏武牧羊，雪屡餐于北海  ；()。;()对两，()对双，()对湘江。()对禁鼓，()对塞缸。()，碧纱窗，()对周邦。()，钟鼓响摐摐。()，治中展骥姓惟庞。()；庄周活鲋，水必决于西江  。
茶对()，赋对()，燕子对()。栽花对()，落絮对()。四目颉，()，鸲鹆对()。半池红菡萏，()。几阵秋风能应候，()。智伯恩深，国士吞变形之炭；()。;()对酒，()对诗，()对莺儿。()对种竹，()对游丝。()，一足夔，()对鹭鸶。()，一架白荼蘼。()，一犁春雨甚知时。()；羊公德大，邑人竖堕泪之碑。
行对()，速对()，舞剑对()。花笺对()，竹简对()。汾水鼎，()，虎豹对()。花开红锦绣，()。去妇因探邻舍枣，()。笛韵和谐，仙管恰从云里降；()。;()对止，()对迟，()对围棋。()对草字，()对毛锥。()，岘山碑，()对熊罴。()，水漾碧琉璃。()，出妻为种后园葵。()；橹声咿轧，渔舟正向雪中移。
戈对()，鼓对()，紫燕对()。梅酸对()，青眼对()。三弄笛，()，雨打对()。海棠春睡早，()。张骏曾为槐树赋，()。晋士特奇，可比一斑之豹  ；()。;()对甲，()对旗，()对黄鹂。()对李苦，()对白眉。()，一围棋，()对风吹。()，杨柳昼眠迟。()，杜陵不作海棠诗。()；唐儒博识，堪为五总之龟  。
来对()，密对()，燕舞对()。风清对()，露重对()。霜菊瘦，()，客路对()。晚霞舒锦绣，()。夏暑客思欹石枕，()。春水才深，青草岸边渔父去；()。;()对往，()对稀，()对莺飞。()对月朗，()对烟微。()，雨梅肥，()对渔矶。()，朝露缀珠玑。()，秋寒妇念寄边衣。()；夕阳半落，绿莎原上牧童归。
宽对()，是对()，服美对()。珊瑚对()，锦绣对()。桃灼灼，()，绿暗对()。窗前莺并语，()。汉致太平三尺剑，()。吟成赏月之诗，只愁月堕  ；()。;()对猛，()对非，()对乘肥。()对玳瑁，()对珠玑。()，柳依依，()对红稀。()，帘外燕双飞。()，周臻大定一戎衣。()；斟满送春之酒，惟憾春归  。
